id,population,latitude,longitude,name
116,52106,43.232858,0.0781021,Tarbes
117,52075,48.8437078,2.4637379,Fontenay-sous-Bois
118,51900,48.6345313,2.4522217,Evry
119,51400,48.800368,2.2630292,Clamart
120,51299,43.26643875,5.39907772284337,Marseille 10
121,51257,48.9566218,4.3628851,Chalons-en-Champagne
122,50776,43.182806,3.0043128,Narbonne
123,50676,48.6454528,-2.015418,Saint-Malo
124,50489,48.0710377,-0.7723499,Laval
125,50487,43.1202573,6.1301614,Hyeres
126,49600,43.2130358,2.3491069,Carcassonne
127,49468,45.6496755,0.1568658,Angouleme
128,49232,45.88975045,6.135465100226,Annecy
129,48268,48.9031,2.48291,Bondy
130,48077,48.9385489,2.4631476,Le Blanc-Mesnil
131,48048,48.7927,2.35845,Villejuif
132,47581,43.6589011,6.9239103,Grasse
133,47334,48.9375516,2.5298112,Sevran
134,47275,43.6036776,2.2417954,Castres
135,47251,46.7888997,4.8529605,Chalon-sur-Saone
136,47193,43.2961743,5.3699525,Marseille 04
137,47052,50.291048,2.7772211,Arras
138,47013,50.7259985,1.6118771,Boulogne-sur-Mer
139,46947,48.8797422,2.5942129,Chelles
140,46923,43.6612012,7.1513834,Cagnes-sur-Mer
141,46898,47.2233007,-1.6346964,Saint-Herblain
142,46531,50.3703683,3.0761377,Douai
143,46145,48.9542249,2.3025347463654,Epinay-sur-Seine
144,45923,48.8474508,2.4396714,Vincennes
145,45749,43.4057279,5.0548176,Martigues
146,45414,43.2961743,5.3699525,Marseille 03
147,45340,46.2051192,5.2250324,Bourg-en-Bresse
148,44962,48.906387,2.4452231,Bobigny
149,44960,46.3399276,2.6067229,Montlucon
150,44844,43.2924385,5.5703031,Aubagne
151,44821,50.3594889,3.5266657,Valenciennes
152,44697,48.8710147,2.2252883,Suresnes
153,44652,48.8126688,2.2385432,Meudon
154,44583,43.2961743,5.3699525,Marseille 05
155,44396,43.4933379,-1.475099,Bayonne
156,44373,43.5139051,4.9884323,Istres
157,44311,49.3579272,6.1675872,Thionville
158,44263,48.9891971,1.7140683,Mantes-la-Jolie
159,44243,49.4179497,2.8263171,Compiegne
160,43988,46.9945997,3.1591285,Nevers
161,43838,48.4470039,1.4866387,Chartres
162,43360,43.2827159,5.3772069,Marseille 06
163,43353,43.5761076,7.0191865,Le Cannet
164,42826,50.7008634,3.2222626,Wattrelos
165,42763,45.7969952,4.8423304,Caluire-et-Cuire
166,42715,44.5611978,6.0820018,Gap
167,42579,44.8088438,-0.5879629,Talence
168,42410,44.1253665,4.0852818,Ales
169,42294,48.9254221,2.2940122,Gennevilliers
170,41641,45.6965347,4.9441635,Saint-Priest
171,41627,48.8761957,2.4856366,Rosny-sous-Bois
172,41516,47.7954001,3.58452,Auxerre
173,41397,43.6405237,5.0980225,Salon-de-Provence
174,41142,48.8990413,2.0942792,Saint-Germain-en-Laye
175,41001,42.7065505,9.452542,Bastia
176,40919,43.2961743,5.3699525,Marseille 01
177,40736,43.4017377,3.6941845,Sete
178,40658,43.4897459,-1.51970914801892,Anglet
179,40646,48.8841522,2.2368863,Puteaux
180,40527,48.6137682,2.4803415,Corbeil-Essonnes
181,39847,48.9703841,2.399024,Garges-les-Gonesse
182,39840,46.0363902,4.0738682,Roanne
183,39698,48.6842593,2.3482788,Savigny-sur-Orge
184,39518,48.917335,2.5298854,Livry-Gargan
185,39518,48.1745653,6.449823,Epinal
186,39353,48.911729,2.334267,Saint-Ouen
187,39248,47.1905456,-1.5695287,Reze
188,39063,48.7698937,2.0381228,Montigny-le-Bretonneux
189,38955,48.8905772,2.45468,Noisy-le-Sec
190,38953,48.539927,2.6608169,Melun
191,38900,47.24072645,-0.0990503294497452,Bagneux
192,38768,48.7282317,2.2735978,Massy
193,38721,48.8172236,7.7885978,Haguenau
194,38708,48.8144,2.31606,Montrouge
195,38629,50.6767018,3.1043032,Marcq-en-Baroeul
196,38591,43.4593696,5.2482643,Vitrolles
197,38573,43.5374662,6.4627333,Draguignan
198,38265,50.4291723,2.8319805,Lens
199,38134,48.8853708,2.5361783,Gagny
200,38014,45.4748298,4.5098046,Saint-Chamond
201,37825,45.7337532,4.9092352,Bron
202,37489,45.7784255,4.9206153,Vaulx-en-Velin
203,37466,47.3508452,0.6638314,Joue-les-Tours
204,37290,48.8051624,2.4197113,Alfortville
205,37287,48.9267236,2.3896123,La Courneuve
206,37210,46.8186601,0.5495597,Chatellerault
207,37114,48.9636566,2.5347541,Villepinte
208,36492,50.1759602,3.2356613,Cambrai
209,36431,48.927439,2.0428293,Poissy
210,36358,49.0003001,2.1017799,Conflans-Sainte-Honorine
211,36205,43.8911318,-0.500972,Mont-de-Marsan
212,36121,48.817399,1.9476363,Plaisir
213,35981,43.2961743,5.3699525,Marseille 07
214,35873,43.4162729,5.2146275,Marignane
215,35707,49.9246182,1.0791444,Dieppe
216,35637,44.5579391,4.750318,Montelimar
217,35591,48.9802035,2.5589558,Tremblay-en-France
218,35590,48.7644619,2.4170727,Choisy-le-Roi
219,35528,45.1785901,5.7658365,Saint-Martin-d'Heres
220,35484,43.7377875,-0.0569552,Macon
221,35002,45.0458886,5.0528681,Romans-sur-Isere
222,34918,44.9150164,1.0815747,Saint-Raphael
223,34798,48.7884,2.61431,Pontault-Combault
224,34779,43.0935105,5.8393953,Six-Fours-les-Plages
225,34770,45.1909365,0.7184407,Perigueux
226,34724,44.9285441,2.4433101,Aurillac
227,34465,48.8642,2.53921,Neuilly-sur-Marne
