id,population,latitude,longitude,name
125,79386,51.218116,7.6395513,Luedenscheid
127,78383,54.0715956,9.9865296,Neumuenster
129,77924,51.5646195,7.3106175,Castrop-Rauxel
130,77542,48.1547823,11.6334838,Bogenhausen
131,77315,51.8311104,12.2429261,Dessau
132,76940,51.5718665,6.9877343,Gladbeck
133,76612,51.4002384,8.0605908,Arnsberg
134,76491,52.2797707,7.4373615,Rheine
135,76153,51.2561445,6.3904284,Viersen
136,75893,53.048095,8.6286066,Delmenhorst
137,75414,52.6047631,13.2952872,Reinickendorf
138,75061,49.9427202,11.5763079,Bayreuth
139,74847,52.5368537,13.6047745,Hellersdorf
140,74749,50.8153071,7.1593271,Troisdorf
141,74411,48.3614687,9.9952337,Giessen
142,73943,51.8382715,6.6148669,Bocholt
143,73680,51.936284,8.8791526,Detmold
145,71439,53.7089898,9.9891914,Norderstedt
146,71260,53.248706,10.407855,Lueneburg
147,71010,52.624056,10.081052,Celle
148,70911,52.5301017,13.3425422,Moabit
149,70573,51.5623618,6.7345106,Dinslaken
150,70047,49.8926723,10.8876149,Bamberg
151,68551,49.9740542,9.1493636,Aschaffenburg
152,68082,53.5574458,13.2602781,Neubrandenburg
153,67219,51.6747074,8.347194,Lippstadt
154,67085,48.8362705,10.0931765,Aalen
155,66805,50.4302589,7.4663112,Neuwied
156,66734,51.5348835,7.689014,Unna
157,66412,50.4950632,12.1346523,Plauen
158,65306,51.5942009,7.1368071,Herten
159,64879,52.1152245,8.6711118,Herford
160,64779,51.0905783,6.5835365,Grevenbroich
161,64727,50.9802813,11.3290855,Weimar
162,64226,50.8696345,6.694734,Kerpen
163,63760,50.5521486,9.676511,Fulda
164,63582,51.0941656,6.8407931,Dormagen
165,63558,50.9540457,6.6410004,Bergheim
166,63355,52.4276606,9.6005102,Garbsen
167,61685,51.6576909,6.617087,Wesel
168,61399,47.7267063,10.3168835,Kempten (Allgaeu)
169,61338,48.8001179,9.7963529,Schwabisch Gmund
170,61311,48.7084162,9.0035455,Sindelfingen
171,60488,48.536217,12.1516551,Landshut
172,60167,47.8539273,12.127262,Rosenheim
173,60128,52.4451749,13.5677186447752,Kopenick Bezirk
174,59826,52.4108261,12.5497933,Brandenburg an der Havel
175,59730,49.991701,8.4138251,Ruesselsheim
176,59561,52.4567544,13.579214789909,Berlin Koepenick
177,59378,51.1084868,6.94895862849541,Langenfeld
178,59238,48.4716556,7.944378,Offenburg
179,58976,54.3159851,13.0904622,Stralsund
180,58874,50.7702908,6.2295504,Stolberg
181,58666,52.1039941,9.3561569,Hameln
183,58451,51.43779,7.7953822,Menden
184,58403,47.6505715,9.4797531,Friedrichshafen
185,58040,48.7031377,9.6541116,Goeppingen
186,57751,51.1563185,14.991018,Goerlitz
187,57113,52.597811,13.4363826377162,Pankow
188,56866,51.4007175,7.1862486,Hattingen
190,56565,51.1674417,6.9307271,Hilden
191,56094,50.7888041,7.1937317,Sankt Augustin
192,55778,50.81753,6.2629956,Eschweiler
193,55280,51.7627633,7.8909086,Ahlen
194,54899,52.0857452,8.7534422,Bad Salzuflen
195,54889,50.66129,6.7871681,Euskirchen
196,54826,51.2652237,6.6760958,Meerbusch
197,54740,52.1625283,10.5348215,Wolfenbuettel
198,54678,50.8807379,6.876568,Huerth
199,54239,48.7580777,8.2415239,Baden-Baden
200,54012,50.0499945,10.233302,Schweinfurt
201,53984,49.3536748,8.1360914,Neustadt
202,53762,50.9978859,6.8029624,Pulheim
203,53374,52.5663309,13.514065,Neu-Hohenschoenhausen
204,53131,51.0277658,7.5630545,Gummersbach
205,52945,48.8317396,9.3158532,Waiblingen
206,52803,52.4359731,7.0707659,Nordhorn
207,52731,54.095791,13.3815238,Greifswald
208,52677,53.86878,8.698286,Cuxhaven
209,52656,50.5525346,8.5074406,Wetzlar
210,52329,51.6149389,7.6362876,Bergkamen
211,51859,50.2227094,8.6287451,Bad Homburg vor der Hoehe
212,51843,51.2641433,6.5446958,Willich
213,51691,52.3412273,14.549452,Frankfurt (Oder)
214,51526,53.3670442,7.2058004,Emden
215,51389,48.3954965,10.00589,Neu-Ulm
216,51310,52.5224659,7.316584,Lingen
217,51297,53.5963901,10.0038317,Winterhude
218,51207,50.789982,6.78154922122218,Erftstadt
219,51109,52.2655018,14.2821117654786,Neubrueck
220,50577,52.2774772,7.7151417,Ibbenbueren
221,50560,48.5740136,13.4606445,Passau
222,50439,52.443118,9.738994,Langenhagen
223,50399,51.445525,7.5674652,Schwerte
224,50343,49.3165553,8.433615,Speyer
225,50067,48.6767637,10.152923,Heidenheim an der Brenz
226,50000,52.4567544,13.579214789909,Berlin Treptow
227,49953,52.3217849,10.2349489,Peine
228,49917,52.44008,13.3900277,Mariendorf
229,49843,49.3464752,7.18432094881367,Neunkirchen
230,49513,52.2014399,8.7981244,Bad Oeynhausen
231,49489,52.3934559,13.4020397,Lichtenrade
232,49239,50.3219015,11.9178807,Hof
233,49109,52.5029358,13.5205456,Friedrichsfelde
234,49072,51.7854839,6.13136741533014,Kleve
235,48825,47.7811014,9.612468,Ravensburg
236,48733,50.9096219,6.8081935,Frechen
237,48703,53.7532486,9.6524559,Elmshorn
238,48523,50.7627913,6.9890508,Bornheim
239,48037,51.5725501,8.1061259,Soest
240,47906,48.8574209,8.2088088,Rastatt
241,47815,51.2222062,6.9123242,Erkrath
242,47693,52.4205009,10.098768287754,Weissensee
243,47500,48.7768517,9.2073231670152,Stuttgart-Ost
244,47495,51.8283677,7.2791406,Duelmen
245,47438,49.5445804,8.3540061,Frankenthal
246,47381,50.8684545,6.0950514,Herzogenrath
247,47002,47.6120896,7.6607218,Loerrach
248,46664,48.2342372,9.0104093,Albstadt
249,46615,50.9462725,10.6945265,Gotha
250,46514,52.200762,8.338667,Melle
251,46340,50.8771537,6.1620774,Alsdorf
252,46282,48.684969,9.0113444,Boeblingen
253,46161,52.2118499,7.0236342,Gronau
254,46123,51.8428202,8.2985615,Rheda-Wiedenbrueck
255,45942,52.5055135,9.4635826,Neustadt am Ruebenberge
256,45927,51.5918443,7.6614305,Kamen
257,45711,48.7997485,9.0127567,Leonberg
258,45696,47.7617515,8.8348709,Singen
259,45634,53.599794,9.475438,Stade
260,45409,50.7754417,7.2847945,Hennef
261,45403,52.2003644,8.5827558,Buende
262,45297,51.4680624,6.7784156,Meiderich
263,45255,53.8909832,11.4647932,Wismar
264,44737,49.4454211,11.858728,Amberg
265,44650,51.080992,6.3160684,Erkelenz
266,44607,49.3181673,7.3340336,Homburg
267,44580,48.8819801,12.569716,Straubing
268,44515,51.479982,11.9234726,Halle Neustadt
269,44137,50.8287139,6.9032947,Bruehl
270,43935,48.8181556,9.278085,Fellbach
271,43920,52.3749334,9.9748557,Lehrte
272,43912,51.5051574,10.7925317,Nordhausen
273,43863,48.33460175,7.88320649377849,Lahr
274,43846,50.9833,10.3166999,Eisenach
275,43681,51.4243429,14.2156451559784,Hoyerswerda
276,43670,50.9169415,13.3428889,Freiberg
277,43582,49.1996961,7.6087847,Pirmasens
278,43560,51.9059936,10.4266284,Goslar
279,43550,48.6616311,9.2236805,Filderstadt
280,43509,50.6086518,10.6926437,Suhl
281,43325,49.5463334,8.6717306,Weinheim
282,43315,50.0176771,8.8853392,Rodgau
283,43213,49.8489566,7.8628083,Bad Kreuznach
284,43038,51.0908881,6.8832264,Monheim am Rhein
285,43000,52.4827905,10.5445691,Gifhorn
286,42785,49.124118,8.5980244,Bruchsal
287,42721,54.2609257,9.984133,Rottenburg
288,42609,52.5493816,13.5046734,Alt-Hohenschoenhausen
289,42570,48.4008273,11.7439565,Freising
290,42566,52.5322705,13.1433666,Staaken
291,42550,47.5501499,7.64973804407986,Weiden
292,42505,47.8803788,10.622246,Kaufbeuren
293,42448,50.2005518,8.580452,Oberursel
294,42417,51.3066628,6.2364082,Nettetal
295,42112,51.2326914,6.6162143,Kaarst
296,42080,52.4257979,9.4294425,Wunstorf
297,41980,52.8351496,13.7997011,Eberswalde
298,41972,51.1840794,14.4270706662008,Bautzen
299,41943,52.0280674,8.9012894,Lemgo
300,41901,50.258112,10.964463,Coburg
301,41769,48.9502631,9.1383314,Bietigheim-Bissingen
302,41711,51.4272925,6.8829192,Muelheim
303,41612,49.2071402,8.1133294,Landau in der Pfalz
304,41505,51.0654268,6.0984461,Heinsberg
305,41266,53.3965903,10.0176952,Seevetal
306,41242,52.4336977,13.3454858,Lankwitz
307,41164,50.6761759,7.1935237,Koenigswinter
308,41135,47.9867696,10.181319,Memmingen
309,41132,49.2399807,6.8460114,Voelklingen
310,40876,51.8443183,6.8582247,Borken
311,40802,52.4146801,13.4986183,Rudow
312,40793,52.7529379,13.2457591,Oranienburg
313,40577,53.6615506,9.7968682,Pinneberg
314,40367,50.011974,8.7123912,Dreieich
315,40322,50.9616923,13.9386643,Pirna
316,40319,53.4695604,7.4823808,Aurich
317,40261,53.5988941,10.0480997,Barmbek-Nord
318,40210,48.6265854,9.3365463,Nurtingen
319,40206,48.6480545,9.4510227,Kirchheim unter Teck
320,40038,52.3077423,9.8132829,Laatzen
321,39828,51.0552368,6.2247322,Hueckelhoven
322,39740,48.2592477,11.4354419,Dachau
323,39729,51.8926561,11.0554519,Halberstadt
324,39697,48.8045259,9.5253326,Schorndorf
325,39557,49.2159263,11.5329526,Neumarkt in der Oberpfalz
326,39550,51.2527778,6.9777778,Mettmann
327,39521,52.1990346,8.7141587,Loehne
328,39490,51.5017981,6.547923,Kamp-Lintfort
329,39488,52.4483324,13.4423401,Britz
330,39439,49.6810158,8.6227577,Bensheim
331,39135,50.7928332,7.2070774,Siegburg
332,39027,51.016265,13.6530329,Freital
333,38942,48.9397149,8.40427,Ettlingen
334,38759,51.5974459,6.6807054,Voerde
335,38707,51.9532449,7.9912335,Warendorf
336,38697,49.2788369,7.1158276,Sankt Ingbert
337,38568,50.9852411,12.4340988,Altenburg
338,38554,49.3295535,11.0195132,Schwabach
339,38501,52.5133992,13.2558416,Westend
340,38474,52.5672167,14.0761529,Buckow
341,38333,49.3164661,6.749846,Saarlouis
342,38313,50.143872,8.8371444,Maintal
343,38192,53.4767351,9.7003941,Buxtehude
344,38165,52.0761541,7.004876,Ahaus
345,38108,51.2396368,10.4867935615622,Muehlhausen
346,38001,53.0586366,14.2840858,Schwedt (Oder)
347,37939,50.92655975,6.94040633814256,Neustadt/Sued
348,37814,51.7555148,8.041135,Beckum
349,37788,51.7430931,7.1872398,Haltern
350,37750,50.086546,8.447324,Hofheim am Taunus
351,37722,52.6051341,11.8593217,Stendal
352,37624,52.5139207,13.1914518,Wilhelmstadt
353,37502,51.3854116,7.7661798,Hemer
354,37468,52.5678244,13.0855621,Falkensee
355,37404,53.3333021,9.8666653,Buchholz in der Nordheide
356,37156,51.3038241,13.308828,Riesa
357,37074,50.8178682,6.1341108,Wuerselen
358,36834,48.1340035,11.3657306,Germering
359,36816,51.1406481,7.2156901,Wermelskirchen
360,36672,48.6901796,9.1525725,Leinfelden-Echterdingen
361,36631,51.9452704,7.1676886,Coesfeld
362,36543,49.1123963,9.7369047,Schwaebisch Hall
363,36480,50.8137102,7.0351942,Niederkassel
364,36364,52.2431146,8.9200253,Porta Westfalica
365,36338,51.6512192,7.3393014,Datteln
366,36312,51.0933769,6.1005432,Kempen
367,36097,51.9914084,8.7919583,Lage
368,36053,53.5929519,9.874564,Lurup
369,36052,52.4249493,13.466183,Gropiusstadt
370,35778,48.9466799,9.4311225,Backnang
371,35742,52.5524034,13.1668941,Falkenhagener Feld
372,35728,48.1477854,11.4607008,Pasing
373,35665,50.824555,6.98355241578077,Wesseling
374,35582,52.174687,7.5301756,Emsdetten
375,35416,49.99029585,8.66577469122567,Langen
376,35293,50.0552494,8.695738,Neu Isenburg
377,35230,52.5993123,13.3565324,Markisches Viertel
378,35221,49.248655,7.3641981,Zweibruecken
379,35219,49.2553,8.87722,Sinsheim
380,35080,52.0929254,7.6120326,Greven
381,34996,52.966838,10.558615,Uelzen
382,34866,52.6787254,13.5881114,Bernau bei Berlin
383,34847,47.9844315,8.8186606,Tuttlingen
384,34780,51.3564413,11.996148,Merseburg
385,34601,52.1294289,7.3903454,Steinfurt
386,34506,52.5192672,13.195439,Spandau
387,34463,51.8344172,10.7862526,Wernigerode
388,34414,48.2737512,8.8557862,Balingen
389,34301,51.2672309,7.1798306,Schoenebeck
390,34287,52.5873891,13.2790461,Tegel
391,34198,52.6947452,7.2909824,Meppen
392,34117,53.0822606,7.3928398,Papenburg
393,34013,51.5169736,6.3228189,Geldern
394,34009,48.5672747,7.8199164,Kehl
395,33911,50.9220931,6.3611015,Juelich
396,33886,53.2473626,7.46314680378176,Leer
397,33820,50.3876305,8.0636197,Limburg an der Lahn
398,33706,51.6755765,6.1593045,Goch
399,33598,48.7178603,9.2630693,Ostfildern
